City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,sarupathar,26.1984,93.8094,25.08,97,100,0.69,IN,1690137250
274,port mathurin,-19.6833,63.4167,22.9,76,21,8.7,MU,1690137067
275,salur,18.5333,83.2167,26.69,88,67,0.84,IN,1690137463
276,hailar,49.2,119.7,13.94,89,28,1.58,CN,1690137055
277,wainwright,52.839,-110.8572,24.76,49,79,3.66,CA,1690137262
278,atmakur,15.8833,78.5833,23.5,96,100,5.52,IN,1690137464
279,bad durrenberg,51.3,12.0667,25.3,47,0,2.06,DE,1690137464
280,petoskey,45.3733,-84.9553,26.96,74,0,4.12,US,1690137055
281,liwa,24.5361,56.5656,32.01,79,100,2.57,OM,1690137464
282,mutsu,41.2894,141.2169,21.25,92,100,1.32,JP,1690137464
283,mamers,48.3333,0.25,22.48,84,100,5.67,FR,1690137464
284,tromso,69.6496,18.957,16.88,67,75,3.09,NO,1690137049
285,noumea,-22.2763,166.4572,19.44,99,10,2.29,NC,1690137464
286,mangrol,21.1167,70.1167,27.14,87,85,7.44,IN,1690137464
287,marsh harbour,26.5412,-77.0636,30.54,66,89,2.4,BS,1690137314
288,timbiqui,2.7717,-77.6654,30.49,66,40,3.12,CO,1690137465
289,cacheu,12.2706,-16.1658,30.05,78,80,4.48,GW,1690137465
290,show low,34.2542,-110.0298,31.71,25,0,4.63,US,1690137465
291,kuta,-8.7233,115.1723,25.0,88,20,5.81,ID,1690137055
292,labrador city,52.9463,-66.9114,19.95,77,75,2.57,CA,1690137013
293,tarko-sale,64.9225,77.785,19.24,64,29,3.0,RU,1690137082
294,zhangye,38.9342,100.4517,25.41,20,10,2.16,CN,1690137465
295,rio grande,-32.035,-52.0986,18.06,77,100,6.19,BR,1690137104
296,guerrero negro,27.9769,-114.0611,26.08,52,2,5.25,MX,1690137465
297,mejit,10.2753,170.8646,28.31,80,14,8.23,MH,1690137465
298,taksimo,56.3444,114.8794,16.2,78,78,0.14,RU,1690137466
299,ancud,-41.8697,-73.8203,6.46,77,100,3.59,CL,1690137104
300,bestobe,52.4994,73.0975,19.4,67,100,3.39,KZ,1690137466
301,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,77,40,4.0,RU,1690137043
302,lincheng,19.9078,109.6858,26.26,89,5,3.71,CN,1690137466
303,extrema,-22.8547,-46.3183,23.6,39,5,1.07,BR,1690137466
304,ayr,55.4627,-4.6339,15.28,76,24,4.93,GB,1690137466
305,klyuchi,52.2667,79.1667,18.4,74,96,1.72,RU,1690137058
306,la ronge,55.1001,-105.2842,21.12,52,75,3.6,CA,1690137466
307,treviglio,45.5238,9.5895,28.86,57,0,1.54,IT,1690137467
308,colonia menno,-22.3667,-59.8167,35.61,20,1,7.35,PY,1690137467
309,tazacorte,28.629,-17.9293,25.64,69,20,7.72,ES,1690137117
310,san julian,21.0167,-102.1667,26.27,33,100,3.89,MX,1690137467
311,vizinga,61.0749,50.1031,14.74,83,100,2.72,RU,1690137098
312,parys,48.8534,2.3488,24.28,62,75,7.2,FR,1690137467
313,fada,9.5667,8.3,20.79,95,100,3.2,NG,1690137467
314,muzaffarnagar,29.4667,77.6833,28.92,72,100,2.63,IN,1690137467
315,kelme,55.6339,22.9342,16.01,97,100,2.84,LT,1690137467
316,san patricio,28.017,-97.5169,37.87,35,13,4.03,US,1690137061
317,qulsary,46.9531,54.0198,29.45,25,1,5.8,KZ,1690137468
318,rovnoye,50.7765,46.0509,17.59,85,100,2.53,RU,1690137468
319,alaghsas,17.0187,8.0168,32.94,46,0,5.66,NE,1690137468
320,sinabang,2.4803,96.3801,26.21,81,100,1.65,ID,1690137078
321,bulgan,48.8125,103.5347,12.67,88,8,1.49,MN,1690137468
322,alto araguaia,-17.3147,-53.2153,30.5,24,0,2.66,BR,1690137468
323,mermoz boabab,14.7065,-17.4758,31.31,66,0,2.06,SN,1690137205
324,cockburn town,21.4612,-71.1419,30.98,66,40,3.6,TC,1690137468
325,mugia,43.1041,-9.2179,18.84,91,83,4.11,ES,1690137468
326,qarauyl,48.9451,79.255,20.17,37,10,2.79,KZ,1690137469
327,tchintabaraden,15.8969,5.7985,37.55,27,71,1.81,NE,1690137469
328,aykhal,66.0,111.5,18.6,61,100,2.48,RU,1690137056
329,san lawrenz,36.0553,14.204,34.67,66,0,3.1,MT,1690137469
330,loukhi,66.0764,33.0381,9.67,89,100,3.94,RU,1690137265
331,les cayes,18.2,-73.75,30.51,63,69,5.17,HT,1690137469
332,hammerfest,70.6634,23.6821,14.25,62,0,5.66,NO,1690137469
333,miguel calmon,-11.4289,-40.595,23.79,57,98,3.64,BR,1690137469
334,nakodar,31.1258,75.4733,28.9,66,86,2.27,IN,1690137469
335,peniche,39.3558,-9.3811,22.27,86,2,4.98,PT,1690137470
336,vila velha,-20.3297,-40.2925,23.97,84,40,6.17,BR,1690137042
337,mashava,-20.0367,30.4823,15.96,41,0,2.15,ZW,1690137470
338,strathalbyn,-35.2667,138.9,10.92,99,100,1.63,AU,1690137470
339,markovo,57.3206,107.0881,17.49,68,60,0.32,RU,1690137470
340,gao,16.6362,1.637,37.06,29,17,1.64,ML,1690137470
341,jining,35.405,116.5814,24.6,85,0,2.66,CN,1690137470
342,mahina,-17.5065,-149.489,24.87,73,20,1.54,PF,1690137470
343,murehwa,-17.6432,31.784,11.83,59,0,1.51,ZW,1690137470
